AEP,Mass,Fatigue,Method
224.79041656216742,9626.952970398937,119.98274767437161,GA
224.7889967593195,8906.415290695171,139.96125601738606,GA
224.78050043689743,9623.693951560928,119.72722821943123,GA
224.76802736670248,9623.42693846322,119.71726286165767,GA
224.7672772056606,9564.076256217852,122.82754307596069,GA
224.7483564672797,9201.93392125792,130.976433811968,GA
224.72262115617477,8895.372364344066,140.27954588649717,GA
224.71065299533623,8895.135488625614,140.26833963272514,GA
224.69227594962058,9202.319518858294,130.69669603717276,GA
224.6617176338927,9352.347687044992,126.48592417900882,GA
224.63538616804422,9032.48936216867,135.6355587355624,GA
224.62209912412058,9676.362051161157,117.75740224294634,GA
224.61267383710793,9033.237047958855,135.5680116958292,GA
224.60412693343395,9719.618506547138,116.88036142651254,GA
224.59629724390155,9703.547155933875,117.21836599740992,GA
224.59379950090477,9228.02336607315,130.244055140406,GA
224.57743329156406,9084.971756665882,134.05072381425785,GA
224.552705870607,9340.900552813853,126.64093079151266,GA
224.53985635618662,8919.70493757595,139.1094307260843,GA
224.44618207783085,9420.012848418706,126.05960389866424,GA
224.43948286632937,9284.327348206858,129.30903782338083,GA
224.41887846064137,9246.486534880365,129.40548171163283,GA
224.37437476373606,9641.688349316073,118.59569446649799,GA
224.3414794046773,9404.825609938114,126.04270005509264,GA
224.27025536863624,9646.500950194395,118.05573662668718,GA
224.24401711393568,8863.81109015134,140.4561949267168,GA
224.22659933024542,9180.958758769999,131.94335785190026,GA
224.2077152463395,9370.20210785573,125.3559789955288,GA
224.17690898389696,9213.089236621621,129.84888700252526,GA
224.1396950647733,9620.808525363236,119.0858772007938,GA
224.1396592720608,9388.890316267989,125.07799444672979,GA
224.0787095078113,9236.009043643066,129.05250121351924,GA
224.06415928571622,8981.984951290724,136.2924147242771,GA
224.0476145156122,9235.247214063695,129.02056927097573,GA
224.0116412204942,9600.877083699948,119.24789705572427,GA
223.99952963017446,9523.550756031615,121.33803611927839,GA
223.998510552445,8944.107330405128,137.79747404522266,GA
223.98169477381998,9279.036975130262,127.53344706293734,GA
223.96679519681163,9178.703337656729,130.303493500715,GA
223.94037199149417,9028.41764035366,135.42907612863925,GA
223.92613957630246,9506.366015501164,121.58124052915832,GA
223.9211162991667,9363.345604222879,126.11121626891101,GA
223.91874674803523,9154.610650375722,132.55067919044362,GA
223.8098598626047,9547.810178268544,120.16074492030982,GA
223.80854538767284,8789.430045692981,141.95105707580214,GA
223.78920025822563,9564.400616407234,119.92197139665247,GA
223.782856464374,9500.79003796925,121.31685708303782,GA
223.7428738878461,9674.175120903928,117.45770909692844,GA
223.72283610154065,9672.147962225468,117.48232673256406,GA
223.71444558924878,9415.286040260384,124.61972570079962,GA
223.70071078167314,9110.922701655372,132.2796544364296,GA
223.6512639160162,8857.159848826046,139.94046157972662,GA
223.64622686284423,9253.486468927673,127.93301079668898,GA
223.55814771332004,9440.977610100932,124.42906199518168,GA
